"","ssuid","monthly_childcare_expenditure","k_under2","k_3to5","k_6to10","METRO","reg_ratio","criminal_records","daycare_regulations","monthly_job_hrs","monthly_wage","monthly_earned_income","monthly_unearned_income","education","age","log_expenditure","H","F","d1","d2","d3"
"5479",881552625179,0,0,1,1,1,6,1,1,40,1912.25,1912.25,-1752.89583333333,12,26.1666666666667,0,1,0,0,1,0
"5480",881552625318,1955.57142857143,0,1,1,1,6,1,1,0,0,0,0.666666666666667,18,37.0833333333333,7.5784377205402,0,1,1,0,1
"5481",881552633085,0,1,0,0,1,6,1,1,0,0,0,0,12,21.8333333333333,0,0,0,1,0,0
"5482",881552635198,0,0,2,0,1,6,1,1,40,19469.6666666667,19469.6666666667,-17471.1944444444,16,41.5,0,1,0,0,1,0
"5483",881552635318,217.285714285714,0,1,0,1,6,1,1,40,2954.41666666667,2954.41666666667,-2708.13194444444,14,29.75,5.38121314320398,1,1,0,0,0
"5484",881552635784,173.828571428571,0,0,1,1,6,1,1,40,2746.41666666667,2746.41666666667,-2514.07638888889,14,47.1666666666667,5.15806959188977,1,1,0,0,0
"5485",881552662108,243.36,1,0,0,1,6,1,1,35.4375,2033.33333333333,2033.33333333333,-1853.55555555556,12,25.3333333333333,5.49454182851098,1,1,0,0,0
"5486",881552662366,0,0,1,2,1,6,1,1,16,2420.83333333333,4104.83333333333,-3837.76388888889,12,32.5,0,0,0,1,0,0
"5487",881552662671,0,0,0,1,1,6,1,1,0,0,0,0,13,39.25,0,0,0,1,0,0
"5488",881552689414,0,0,1,0,1,5,1,1,35,50,100,-95.8333333333333,16,37,0,1,0,0,1,0
"5489",881552723280,434.571428571429,1,0,1,1,6,1,1,40,1420.66666666667,1420.66666666667,-1302.27777777778,11,27.1666666666667,6.07436032376392,1,1,0,0,0
"5490",881552723467,0,1,0,0,1,6,1,1,0.533333333333333,19.8333333333333,19.8333333333333,-5.68055555555555,12,19.75,0,0,0,1,0,0
"5491",881552723851,0,0,0,1,1,6,1,1,40,2659.16666666667,2659.16666666667,-2437.56944444444,13,39.25,0,1,0,0,1,0
"5492",881552756189,0,1,0,0,1,6,1,1,0,0,0,0,9,20.75,0,0,0,1,0,0
"5493",881552771829,760.5,0,1,0,1,7.5,1,1.75,0,0,0,0.0833333333333333,16,32.1666666666667,6.63397611169935,0,1,1,0,1
"5494",881552809251,0,0,1,1,1,5,1,1,0,0,0,0,16,35.75,0,0,0,1,0,0
"5495",881552814534,0,1,0,1,1,6,1,1,0,0,0,0,10,20.8333333333333,0,0,0,1,0,0
"5496",881552814925,0,0,0,1,1,6,1,1,43.125,2985.83333333333,2985.83333333333,-2667.56944444444,14,52.25,0,1,0,0,1,0
"5497",881552814935,0,1,1,1,1,6,1,1,0,0,0,100,8,24.8333333333333,0,0,0,1,0,0
"5498",881552847125,0,0,0,1,1,6,1,1,0,0,0,38.8888888888889,14,45.5,0,0,0,1,0,0
"5499",881552847470,0,0,0,2,1,6,1,1,0,0,0,0,9,48.5833333333333,0,0,0,1,0,0
"5500",881552847552,0,0,0,1,1,6,1,1,6,2005.5,2005.5,-1838.375,18,40.1666666666667,0,0,0,1,0,0
"5501",881552848195,0,0,1,1,1,6,1,1,12,416.916666666667,416.916666666667,-111.340277777778,12,31.6666666666667,0,0,0,1,0,0
"5502",881552848451,0,0,0,1,1,6,1,1,0,0,0,0,16,41,0,0,0,1,0,0
"5503",881552849451,0,1,0,0,1,6,1,1,39.3333333333333,3409.66666666667,3409.66666666667,-3125.52777777778,13,35.4166666666667,0,1,0,0,1,0
"5504",881552908172,0,0,0,2,1,5,1,1,0,0,0,0,10,37.5,0,0,0,1,0,0
"5505",881552908632,0,0,1,1,1,5,1,1,0,0,0,0,12,27.9166666666667,0,0,0,1,0,0
"5506",881552911348,0,0,0,1,1,5,1,1,0,0,0,0,11,41.4166666666667,0,0,0,1,0,0
"5507",881552929003,0,0,1,0,1,6,1,1,0,0,0,0,12,28.6666666666667,0,0,0,1,0,0
"5508",881552929467,0,0,1,0,1,6,1,1,0,0,0,26.6666666666667,11,40.0833333333333,0,0,0,1,0,0
"5509",881552929536,0,0,1,0,1,6,1,1,0,0,0,0,12,39.25,0,0,0,1,0,0
"5510",881552929883,0,0,1,0,1,5,1,1,0,0,0,0,13,33.1666666666667,0,0,0,1,0,0
"5511",881552929966,0,0,1,2,1,6,1,1,0,0,0,0,12,27.5,0,0,0,1,0,0
"5512",881552945668,0,1,1,2,1,6,1,1,20.0208333333333,679.25,679.25,-600.145833333333,9,26.1666666666667,0,1,0,0,1,0
"5513",881552945751,1086.42857142857,0,1,1,1,6,1,1,40,4679.25,4679.25,-4287.64583333333,12,33.9166666666667,6.99065105563808,1,1,0,0,0
"5514",881552982061,0,0,2,0,1,6,1,1,10,0,0,197.451388888889,16,45.75,0,0,0,1,0,0
"5515",881552982960,0,1,1,0,1,6,1,1,0,0,0,67.3333333333333,12,38.6666666666667,0,0,0,1,0,0
"5516",881688098246,3454.84285714286,1,1,0,1,6,1,1,40,5849.58333333333,5849.58333333333,-5362.11805555556,18,37.5833333333333,8.14753225243017,1,1,0,0,0
"5517",881688101505,0,0,0,1,1,6,1,1,40,3802.16666666667,3802.16666666667,-3485.31944444444,16,40.9166666666667,0,1,0,0,1,0
"5518",881688172565,0,0,0,1,1,6,1,1,0,0,170.25,-156.0625,5,32.5833333333333,0,0,0,1,0,0
